PLANT_NAME,ZONE,FUEL_TYPE,BUS,PMAX,PMIN,COST,FUEL_COST_NAME,GEN_ID,PG
NG_PJM_West,PJM_West,NG,0,149.0,0,0.0,,GEN_1,0
NG_PJM_West,PJM_West,NG,0,98.0,0,0.0,,GEN_2,0
NG_PJM_West,PJM_West,NG,0,149.0,0,0.0,,GEN_3,0
NG_PJM_West,PJM_West,NG,0,149.0,0,0.0,,GEN_4,0
NG_PJM_West,PJM_West,NG,0,108.0,0,0.0,,GEN_5,0
NG_PJM_West,PJM_West,NG,0,108.0,0,0.0,,GEN_6,0
NG_PJM_West,PJM_West,NG,0,98.0,0,21.5,Distillate Fuel Oil,GEN_7,0
NG_PJM_West,PJM_West,NG,0,98.0,0,1.5,Landfill Gas,GEN_8,0
NG_PJM_West,PJM_West,NG,0,98.0,0,0.7,Nuclear Fuel,GEN_9,0
NUC_MIS_IL,MIS_IL,NUC,0,1138.3,0,2.55,Natural Gas,GEN_10,0
DFO_PJM_EMAC,PJM_EMAC,DFO,0,27.5,0,0.7,Nuclear Fuel,GEN_11,0
DFO_PJM_EMAC,PJM_EMAC,DFO,0,27.5,0,0.0,,GEN_12,0
DFO_PJM_EMAC,PJM_EMAC,DFO,0,18.5,0,0.0,,GEN_13,0
DFO_PJM_EMAC,PJM_EMAC,DFO,0,12.5,0,0.0,,GEN_14,0
NG_PJM_EMAC,PJM_EMAC,NG,0,75.0,0,0.0,,GEN_15,0
NG_PJM_EMAC,PJM_EMAC,NG,0,176.8,0,0.0,,GEN_16,0
NG_PJM_EMAC,PJM_EMAC,NG,0,446.0,0,0.0,,GEN_17,0
DFO_PJM_EMAC,PJM_EMAC,DFO,0,16.2,0,21.5,Distillate Fuel Oil,GEN_18,0
NUC_PJM_COMD,PJM_COMD,NUC,0,1009.3,0,1.5,Landfill Gas,GEN_19,0
NUC_PJM_COMD,PJM_COMD,NUC,0,1009.3,0,0.0,,GEN_20,0
SUB_PJM_COMD,PJM_COMD,SUB,0,892.8,0,0.7,Nuclear Fuel,GEN_21,0
SUB_PJM_COMD,PJM_COMD,SUB,0,892.8,0,2.55,Natural Gas,GEN_22,0
NUC_PJM_COMD,PJM_COMD,NUC,0,1009.3,0,7.39,Biomass,GEN_23,0
NUC_PJM_COMD,PJM_COMD,NUC,0,1009.3,0,0.0,,GEN_24,0
DFO_PJM_COMD,PJM_COMD,DFO,0,28.0,0,0.0,,GEN_25,0
DFO_PJM_COMD,PJM_COMD,DFO,0,28.0,0,0.0,,GEN_26,0
DFO_PJM_COMD,PJM_COMD,DFO,0,28.0,0,0.0,,GEN_27,0
DFO_PJM_COMD,PJM_COMD,DFO,0,28.0,0,0.0,,GEN_28,0
DFO_PJM_COMD,PJM_COMD,DFO,0,32.5,0,0.0,,GEN_29,0
DFO_PJM_COMD,PJM_COMD,DFO,0,32.5,0,0.0,,GEN_30,0
DFO_PJM_COMD,PJM_COMD,DFO,0,32.5,0,0.0,,GEN_31,0
DFO_PJM_COMD,PJM_COMD,DFO,0,32.5,0,21.5,Distillate Fuel Oil,GEN_32,0
DFO_PJM_COMD,PJM_COMD,DFO,0,32.5,0,1.5,Landfill Gas,GEN_33,0
DFO_PJM_COMD,PJM_COMD,DFO,0,32.5,0,0.0,,GEN_34,0
DFO_PJM_COMD,PJM_COMD,DFO,0,32.5,0,0.7,Nuclear Fuel,GEN_35,0
DFO_PJM_COMD,PJM_COMD,DFO,0,32.5,0,2.55,Natural Gas,GEN_36,0
NG_PJM_COMD,PJM_COMD,NG,0,18.0,0,0.7,Nuclear Fuel,GEN_37,0
NG_PJM_COMD,PJM_COMD,NG,0,18.0,0,7.39,Biomass,GEN_38,0
NG_PJM_COMD,PJM_COMD,NG,0,18.0,0,0.0,,GEN_39,0
NG_PJM_COMD,PJM_COMD,NG,0,18.0,0,0.0,,GEN_40,0
WAT_PJM_COMD,PJM_COMD,WAT,0,0.9,0,0.0,,GEN_41,0
WAT_PJM_COMD,PJM_COMD,WAT,0,0.9,0,0.0,,GEN_42,0
WAT_PJM_COMD,PJM_COMD,WAT,0,0.9,0,0.0,,GEN_43,0
WAT_PJM_COMD,PJM_COMD,WAT,0,0.9,0,0.0,,GEN_44,0
WAT_PJM_COMD,PJM_COMD,WAT,0,0.6,0,0.0,,GEN_45,0
WAT_PJM_COMD,PJM_COMD,WAT,0,0.5,0,0.0,,GEN_46,0
NG_MIS_IL,MIS_IL,NG,0,61.0,0,2.55,Natural Gas,GEN_47,0
NG_MIS_IL,MIS_IL,NG,0,200.0,0,0.0,,GEN_48,0
NG_MIS_IL,MIS_IL,NG,0,200.0,0,0.0,,GEN_49,0
NG_MIS_IL,MIS_IL,NG,0,125.0,0,0.0,,GEN_50,0
DFO_MIS_IL,MIS_IL,DFO,0,3.0,0,0.0,,GEN_51,0
DFO_MIS_IL,MIS_IL,DFO,0,2.5,0,21.5,Distillate Fuel Oil,GEN_52,0
DFO_MIS_IL,MIS_IL,DFO,0,2.5,0,2.55,Natural Gas,GEN_53,0
DFO_MIS_IL,MIS_IL,DFO,0,2.5,0,0.0,,GEN_54,0
DFO_MIS_IL,MIS_IL,DFO,0,2.5,0,0.0,,GEN_55,0
DFO_MIS_IL,MIS_IL,DFO,0,0.9,0,0.0,,GEN_56,0
DFO_MIS_IL,MIS_IL,DFO,0,3.0,0,0.0,,GEN_57,0
DFO_MIS_IL,MIS_IL,DFO,0,0.2,0,0.0,,GEN_58,0
DFO_MIS_IL,MIS_IL,DFO,0,0.2,0,0.0,,GEN_59,0
