year,datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,zone,nspl_mw
2025,8/28/2024 8:00:00 PM,8/28/2024 4:00:00 PM,8/28/2024 9:00:00 PM,8/28/2024 5:00:00 PM,DEOK,5170.90000
2025,8/27/2024 9:00:00 PM,8/27/2024 5:00:00 PM,8/27/2024 10:00:00 PM,8/27/2024 6:00:00 PM,COMED,21559.60000
2025,8/6/2024 8:00:00 PM,8/6/2024 4:00:00 PM,8/6/2024 9:00:00 PM,8/6/2024 5:00:00 PM,DAY,3365.00000
2025,7/16/2024 10:00:00 PM,7/16/2024 6:00:00 PM,7/16/2024 11:00:00 PM,7/16/2024 7:00:00 PM,AECO,2566.00000
2025,7/16/2024 9:00:00 PM,7/16/2024 5:00:00 PM,7/16/2024 10:00:00 PM,7/16/2024 6:00:00 PM,BGE,6765.90000
2025,7/16/2024 9:00:00 PM,7/16/2024 5:00:00 PM,7/16/2024 10:00:00 PM,7/16/2024 6:00:00 PM,DOM,23117.80000
2025,7/16/2024 9:00:00 PM,7/16/2024 5:00:00 PM,7/16/2024 10:00:00 PM,7/16/2024 6:00:00 PM,DPL,4188.50000
2025,7/16/2024 9:00:00 PM,7/16/2024 5:00:00 PM,7/16/2024 10:00:00 PM,7/16/2024 6:00:00 PM,JCPL,6183.60000
2025,7/16/2024 9:00:00 PM,7/16/2024 5:00:00 PM,7/16/2024 10:00:00 PM,7/16/2024 6:00:00 PM,PEPCO,6161.70000
2025,7/16/2024 9:00:00 PM,7/16/2024 5:00:00 PM,7/16/2024 10:00:00 PM,7/16/2024 6:00:00 PM,PSEG,10151.70000
2025,7/16/2024 8:00:00 PM,7/16/2024 4:00:00 PM,7/16/2024 9:00:00 PM,7/16/2024 5:00:00 PM,PECO,8651.50000
2025,7/16/2024 7:00:00 PM,7/16/2024 3:00:00 PM,7/16/2024 8:00:00 PM,7/16/2024 4:00:00 PM,METED,3066.90000
2025,7/16/2024 7:00:00 PM,7/16/2024 3:00:00 PM,7/16/2024 8:00:00 PM,7/16/2024 4:00:00 PM,PPL,7459.60000
2025,7/16/2024 7:00:00 PM,7/16/2024 3:00:00 PM,7/16/2024 8:00:00 PM,7/16/2024 4:00:00 PM,RECO,403.60000
2025,7/15/2024 8:00:00 PM,7/15/2024 4:00:00 PM,7/15/2024 9:00:00 PM,7/15/2024 5:00:00 PM,DUQ,2690.70000
2025,7/10/2024 6:00:00 PM,7/10/2024 2:00:00 PM,7/10/2024 7:00:00 PM,7/10/2024 3:00:00 PM,PENELEC,2953.20000
2025,6/20/2024 6:00:00 PM,6/20/2024 2:00:00 PM,6/20/2024 7:00:00 PM,6/20/2024 3:00:00 PM,ATSI,12508.30000
2025,1/22/2024 12:00:00 PM,1/22/2024 7:00:00 AM,1/22/2024 1:00:00 PM,1/22/2024 8:00:00 AM,APS,8937.60000
2025,1/17/2024 1:00:00 PM,1/17/2024 8:00:00 AM,1/17/2024 2:00:00 PM,1/17/2024 9:00:00 AM,AEP,22318.00000
2025,1/17/2024 12:00:00 PM,1/17/2024 7:00:00 AM,1/17/2024 1:00:00 PM,1/17/2024 8:00:00 AM,EKPC,3748.30000
