branch_idx,line,flow,limit,utilization,cost,capacity
0,True,168.44412138997748,2444.0,6.8921489930432696,223517.15080596684,243265.022
1,True,242.36147930493783,6220.0,3.8964868055456243,223517.15080596684,243265.022
2,True,1096.9262351283248,2785.0,39.38693842471543,223517.15080596684,243265.022
3,True,1733.433603616595,1850.0,93.69911370900515,223517.15080596684,243265.022
4,True,698.4323605406483,3395.0,20.57238175377462,223517.15080596684,243265.022
5,True,168.44412138997748,2444.0,6.8921489930432696,223517.15080596684,243265.022
6,True,529.988239150671,7400.0,7.162003231765825,223517.15080596684,243265.022
7,True,166.93462392191978,980.0,17.034145298155078,223517.15080596684,243265.022
8,True,242.36147930493783,6220.0,3.8964868055456243,223517.15080596684,243265.022
9,True,1491.0721243116573,1950.0,76.46523714418755,223517.15080596684,243265.022
10,True,456.0708812357106,3873.0,11.775648882925655,223517.15080596684,243265.022
11,True,885.5594449743343,1050.0,84.3389947594604,223517.15080596684,243265.022
12,True,449.05694143439706,9350.0,4.802748036731519,223517.15080596684,243265.022
13,True,1096.9262351283248,2785.0,39.38693842471543,223517.15080596684,243265.022
14,True,1495.7434523361887,5173.0,28.914429776458316,223517.15080596684,243265.022
15,True,1733.433603616595,1850.0,93.69911370900515,223517.15080596684,243265.022
16,True,1491.0721243116573,1950.0,76.46523714418755,223517.15080596684,243265.022
17,True,885.5594449743343,1050.0,84.3389947594604,223517.15080596684,243265.022
18,True,1334.6163864087312,1530.0,87.22982917704125,223517.15080596684,243265.022
19,True,698.4323605406483,3395.0,20.57238175377462,223517.15080596684,243265.022
20,True,529.988239150671,7400.0,7.162003231765825,223517.15080596684,243265.022
21,True,166.93462392191978,980.0,17.034145298155078,223517.15080596684,243265.022
22,True,456.0708812357106,3873.0,11.775648882925655,223517.15080596684,243265.022
23,True,449.05694143439706,9350.0,4.802748036731519,223517.15080596684,243265.022
24,True,1495.7434523361887,5173.0,28.914429776458316,223517.15080596684,243265.022
25,True,1334.6163864087312,1530.0,87.22982917704125,223517.15080596684,243265.022
