branch_idx,line,flow,limit,utilization,cost,capacity
0,True,1171.2329941539133,2444.0,47.92279026816339,118747.1913202985,285587.07
1,True,29.406092681372222,6220.0,0.47276676336611295,118747.1913202985,285587.07
2,True,691.0981298459208,2785.0,24.815013638991772,118747.1913202985,285587.07
3,True,1849.999999819601,1850.0,99.9999999902487,118747.1913202985,285587.07
4,True,515.8137783959044,3395.0,15.193336624327081,118747.1913202985,285587.07
5,True,1171.2329941539133,2444.0,47.92279026816339,118747.1913202985,285587.07
6,True,655.4192157580089,7400.0,8.857016429162282,118747.1913202985,285587.07
7,True,979.9999995020983,980.0,99.9999999491937,118747.1913202985,285587.07
8,True,29.406092681372222,6220.0,0.47276676336611295,118747.1913202985,285587.07
9,True,1879.406092500973,1950.0,96.37979961543451,118747.1913202985,285587.07
10,True,486.4076857145321,3873.0,12.55893843827865,118747.1913202985,285587.07
11,True,560.9153993831084,1050.0,53.4205142269627,118747.1913202985,285587.07
12,True,3.3721394026489104,9350.0,0.036065662060416157,118747.1913202985,285587.07
13,True,691.0981298459208,2785.0,24.815013638991772,118747.1913202985,285587.07
14,True,1983.5548696850624,5173.0,38.34438178397569,118747.1913202985,285587.07
15,True,1849.999999819601,1850.0,99.9999999902487,118747.1913202985,285587.07
16,True,1879.406092500973,1950.0,96.37979961543451,118747.1913202985,285587.07
17,True,560.9153993831084,1050.0,53.4205142269627,118747.1913202985,285587.07
18,True,557.5432599804593,1530.0,36.44073594643525,118747.1913202985,285587.07
19,True,515.8137783959044,3395.0,15.193336624327081,118747.1913202985,285587.07
20,True,655.4192157580089,7400.0,8.857016429162282,118747.1913202985,285587.07
21,True,979.9999995020983,980.0,99.9999999491937,118747.1913202985,285587.07
22,True,486.4076857145321,3873.0,12.55893843827865,118747.1913202985,285587.07
23,True,3.3721394026489104,9350.0,0.036065662060416157,118747.1913202985,285587.07
24,True,1983.5548696850624,5173.0,38.34438178397569,118747.1913202985,285587.07
25,True,557.5432599804593,1530.0,36.44073594643525,118747.1913202985,285587.07
