branch_idx,line,flow,limit,utilization,cost,capacity
0,True,208.890909348702,2444.0,8.547091217213666,217740.551672326,245530.35499999998
1,True,443.5040152225426,6220.0,7.130289633802936,217740.551672326,245530.35499999998
2,True,1287.596930460039,2785.0,46.23328296086316,217740.551672326,245530.35499999998
3,True,1690.8936942865669,1850.0,91.39965915062524,217740.551672326,245530.35499999998
4,True,836.5959372469433,3395.0,24.64200109711173,217740.551672326,245530.35499999998
5,True,208.890909348702,2444.0,8.547091217213666,217740.551672326,245530.35499999998
6,True,627.7050278982413,7400.0,8.48250037700326,217740.551672326,245530.35499999998
7,True,211.19850272280206,980.0,21.550867624775723,217740.551672326,245530.35499999998
8,True,443.5040152225426,6220.0,7.130289633802936,217740.551672326,245530.35499999998
9,True,1247.3896790640242,1950.0,63.96870149046278,217740.551672326,245530.35499999998
10,True,393.0919220244006,3873.0,10.149546140573214,217740.551672326,245530.35499999998
11,True,922.2469549336328,1050.0,87.83304332701263,217740.551672326,245530.35499999998
12,True,472.3106696705038,9350.0,5.051451012518757,217740.551672326,245530.35499999998
13,True,1287.596930460039,2785.0,46.23328296086316,217740.551672326,245530.35499999998
14,True,1583.9330001424692,5173.0,30.61923448951226,217740.551672326,245530.35499999998
15,True,1690.8936942865669,1850.0,91.39965915062524,217740.551672326,245530.35499999998
16,True,1247.3896790640242,1950.0,63.96870149046278,217740.551672326,245530.35499999998
17,True,922.2469549336328,1050.0,87.83304332701263,217740.551672326,245530.35499999998
18,True,1394.5576246041367,1530.0,91.14755716366906,217740.551672326,245530.35499999998
19,True,836.5959372469433,3395.0,24.64200109711173,217740.551672326,245530.35499999998
20,True,627.7050278982413,7400.0,8.48250037700326,217740.551672326,245530.35499999998
21,True,211.19850272280206,980.0,21.550867624775723,217740.551672326,245530.35499999998
22,True,393.0919220244006,3873.0,10.149546140573214,217740.551672326,245530.35499999998
23,True,472.3106696705038,9350.0,5.051451012518757,217740.551672326,245530.35499999998
24,True,1583.9330001424692,5173.0,30.61923448951226,217740.551672326,245530.35499999998
25,True,1394.5576246041367,1530.0,91.14755716366906,217740.551672326,245530.35499999998
