line,flow,limit,utilization
True,208.89090191320082,2444.0,8.547090912978756
True,443.5039861032717,6220.0,7.130289165647455
True,1287.5970013162525,2785.0,46.233285505071905
True,1690.8936776179087,1850.0,91.39965824961669
True,836.5962408054748,3395.0,24.642010038452867
True,208.89090191320082,2444.0,8.547090912978756
True,627.7053388922741,7400.0,8.482504579625326
True,211.19852783192715,980.0,21.55087018693134
True,443.5039861032717,6220.0,7.130289165647455
True,1247.389691514637,1950.0,63.96870212895575
True,393.0922547022032,3873.0,10.149554730240206
True,922.2469556804716,1050.0,87.83304339814015
True,472.31067203494604,9350.0,5.05145103780691
True,1287.5970013162525,2785.0,46.233285505071905
True,1583.9330512187435,5173.0,30.619235476874994
True,1690.8936776179087,1850.0,91.39965824961669
True,1247.389691514637,1950.0,63.96870212895575
True,922.2469556804716,1050.0,87.83304339814015
True,1394.5576277154178,1530.0,91.14755736702077
True,836.5962408054748,3395.0,24.642010038452867
True,627.7053388922741,7400.0,8.482504579625326
True,211.19852783192715,980.0,21.55087018693134
True,393.0922547022032,3873.0,10.149554730240206
True,472.31067203494604,9350.0,5.05145103780691
True,1583.9330512187435,5173.0,30.619235476874994
True,1394.5576277154178,1530.0,91.14755736702077
