line,flow,limit,utilization
True,226.69906310145177,2444.0,9.27573907943747
True,491.03099052059315,6220.0,7.894388915122076
True,1243.9299615997293,2785.0,44.66534871094181
True,1689.6084588301796,1850.0,91.3301869637935
True,825.1050350709012,3395.0,24.303535642736414
True,226.69906310145177,2444.0,9.27573907943747
True,598.4059719694494,7400.0,8.086567188776343
True,30.522829021058794,980.0,3.1145743899039586
True,491.03099052059315,6220.0,7.894388915122076
True,1198.5774683095865,1950.0,61.46551119536341
True,334.07404455030803,3873.0,8.62571764911717
True,877.7394360812928,1050.0,83.59423200774216
True,418.94178934170594,9350.0,4.480660848574395
True,1243.9299615997293,2785.0,44.66534871094181
True,1636.85719500691,5173.0,31.64231964057433
True,1689.6084588301796,1850.0,91.3301869637935
True,1198.5774683095865,1950.0,61.46551119536341
True,877.7394360812928,1050.0,83.59423200774216
True,1296.6812254229988,1530.0,84.75040689039207
True,825.1050350709012,3395.0,24.303535642736414
True,598.4059719694494,7400.0,8.086567188776343
True,30.522829021058794,980.0,3.1145743899039586
True,334.07404455030803,3873.0,8.62571764911717
True,418.94178934170594,9350.0,4.480660848574395
True,1636.85719500691,5173.0,31.64231964057433
True,1296.6812254229988,1530.0,84.75040689039207
