line,flow,limit,utilization
True,167.74718133329569,2444.0,6.8636326241119345
True,243.59655730289754,6220.0,3.916343364998353
True,1096.4232197907363,2785.0,39.36887683270148
True,1733.8248984336371,1850.0,93.7202647801966
True,696.5364415526354,3395.0,20.51653730641047
True,167.74718133329569,2444.0,6.8636326241119345
True,528.7892602193397,7400.0,7.14580081377486
True,166.4243481805863,980.0,16.982076344957786
True,243.59655730289754,6220.0,3.916343364998353
True,1490.2283411307396,1950.0,76.42196621183281
True,452.93988424973793,3873.0,11.694807235986005
True,885.7970501060558,1050.0,84.36162381962437
True,448.8810574797168,9350.0,4.8008669249167575
True,1096.4232197907363,2785.0,39.36887683270148
True,1495.5700106386007,5173.0,28.911076950291914
True,1733.8248984336371,1850.0,93.7202647801966
True,1490.2283411307396,1950.0,76.42196621183281
True,885.7970501060558,1050.0,84.36162381962437
True,1334.6781075857728,1530.0,87.23386324090018
True,696.5364415526354,3395.0,20.51653730641047
True,528.7892602193397,7400.0,7.14580081377486
True,166.4243481805863,980.0,16.982076344957786
True,452.93988424973793,3873.0,11.694807235986005
True,448.8810574797168,9350.0,4.8008669249167575
True,1495.5700106386007,5173.0,28.911076950291914
True,1334.6781075857728,1530.0,87.23386324090018
