branch_idx,line,flow,limit,utilization,cost,capacity
0,True,260.36340700446704,2444.0,10.653167226042022,214229.68362555245,246907.166
1,True,467.0300147513581,6220.0,7.508521137481641,214229.68362555245,246907.166
2,True,1353.9512942938302,2785.0,48.61584539654687,214229.68362555245,246907.166
3,True,1648.531252065448,1850.0,89.10979740894312,214229.68362555245,246907.166
4,True,904.8830079377666,3395.0,26.653402295663227,214229.68362555245,246907.166
5,True,260.36340700446704,2444.0,10.653167226042022,214229.68362555245,246907.166
6,True,644.5196009332997,7400.0,8.709724336936482,214229.68362555245,246907.166
7,True,147.26316951039982,980.0,15.02685403167345,214229.68362555245,246907.166
8,True,467.0300147513581,6220.0,7.508521137481641,214229.68362555245,246907.166
9,True,1181.5012373140898,1950.0,60.5898070417482,214229.68362555245,246907.166
10,True,437.85299318640875,3873.0,11.305267058776368,214229.68362555245,246907.166
11,True,898.4669629243197,1050.0,85.56828218326854,214229.68362555245,246907.166
12,True,493.5033138064731,9350.0,5.278110308090621,214229.68362555245,246907.166
13,True,1353.9512942938302,2785.0,48.61584539654687,214229.68362555245,246907.166
14,True,1610.5122696284852,5173.0,31.133042134708784,214229.68362555245,246907.166
15,True,1648.531252065448,1850.0,89.10979740894312,214229.68362555245,246907.166
16,True,1181.5012373140898,1950.0,60.5898070417482,214229.68362555245,246907.166
17,True,898.4669629243197,1050.0,85.56828218326854,214229.68362555245,246907.166
18,True,1391.9702767307929,1530.0,90.97844945952895,214229.68362555245,246907.166
19,True,904.8830079377666,3395.0,26.653402295663227,214229.68362555245,246907.166
20,True,644.5196009332997,7400.0,8.709724336936482,214229.68362555245,246907.166
21,True,147.26316951039982,980.0,15.02685403167345,214229.68362555245,246907.166
22,True,437.85299318640875,3873.0,11.305267058776368,214229.68362555245,246907.166
23,True,493.5033138064731,9350.0,5.278110308090621,214229.68362555245,246907.166
24,True,1610.5122696284852,5173.0,31.133042134708784,214229.68362555245,246907.166
25,True,1391.9702767307929,1530.0,90.97844945952895,214229.68362555245,246907.166
