branch_idx,line,flow,limit,utilization,cost,capacity
0,True,167.74729364579505,2444.0,6.863637219549716,223591.99840598853,243235.66999999998
1,True,243.59660018220626,6220.0,3.916344054376306,223591.99840598853,243235.66999999998
2,True,1096.423768680367,2785.0,39.36889654148535,223591.99840598853,243235.66999999998
3,True,1733.8248815347722,1850.0,93.72026386674445,223591.99840598853,243235.66999999998
4,True,696.537140312963,3395.0,20.516557888452517,223591.99840598853,243235.66999999998
5,True,167.74729364579505,2444.0,6.863637219549716,223591.99840598853,243235.66999999998
6,True,528.7898466671678,7400.0,7.145808738745512,223591.99840598853,243235.66999999998
7,True,166.42439299635282,980.0,16.982080917995184,223591.99840598853,243235.66999999998
8,True,243.59660018220626,6220.0,3.916344054376306,223591.99840598853,243235.66999999998
9,True,1490.2282813525658,1950.0,76.42196314628542,223591.99840598853,243235.66999999998
10,True,452.94054013075663,3873.0,11.69482417068827,223591.99840598853,243235.66999999998
11,True,885.7970504204047,1050.0,84.36162384956235,223591.99840598853,243235.66999999998
12,True,448.88112881905755,9350.0,4.800867687904359,223591.99840598853,243235.66999999998
13,True,1096.423768680367,2785.0,39.36889654148535,223591.99840598853,243235.66999999998
14,True,1495.570470975677,5173.0,28.911085849133517,223591.99840598853,243235.66999999998
15,True,1733.8248815347722,1850.0,93.72026386674445,223591.99840598853,243235.66999999998
16,True,1490.2282813525658,1950.0,76.42196314628542,223591.99840598853,243235.66999999998
17,True,885.7970504204047,1050.0,84.36162384956235,223591.99840598853,243235.66999999998
18,True,1334.6781792394622,1530.0,87.23386792414786,223591.99840598853,243235.66999999998
19,True,696.537140312963,3395.0,20.516557888452517,223591.99840598853,243235.66999999998
20,True,528.7898466671678,7400.0,7.145808738745512,223591.99840598853,243235.66999999998
21,True,166.42439299635282,980.0,16.982080917995184,223591.99840598853,243235.66999999998
22,True,452.94054013075663,3873.0,11.69482417068827,223591.99840598853,243235.66999999998
23,True,448.88112881905755,9350.0,4.800867687904359,223591.99840598853,243235.66999999998
24,True,1495.570470975677,5173.0,28.911085849133517,223591.99840598853,243235.66999999998
25,True,1334.6781792394622,1530.0,87.23386792414786,223591.99840598853,243235.66999999998
