branch_idx,line,flow,limit,utilization,cost,capacity
0,True,33.28864732934296,2444.0,1.3620559463724615,169593.96341730564,264411.37
1,True,667.0928906571752,6220.0,10.724966087735934,169593.96341730564,264411.37
2,True,1100.4630481327429,2785.0,39.51393350566402,169593.96341730564,264411.37
3,True,1812.963011842599,1850.0,97.99800064014048,169593.96341730564,264411.37
4,True,866.4199300270262,3395.0,25.520469220236414,169593.96341730564,264411.37
5,True,33.28864732934296,2444.0,1.3620559463724615,169593.96341730564,264411.37
6,True,899.7085773563691,7400.0,12.158224018329312,169593.96341730564,264411.37
7,True,745.0838147697716,980.0,76.02896069079303,169593.96341730564,264411.37
8,True,667.0928906571752,6220.0,10.724966087735934,169593.96341730564,264411.37
9,True,1145.8701211854236,1950.0,58.76257031720121,169593.96341730564,264411.37
10,True,199.32703936985087,3873.0,5.146579895942445,169593.96341730564,264411.37
11,True,952.9903956796311,1050.0,90.76099006472677,169593.96341730564,264411.37
12,True,465.47922790490634,9350.0,4.978387464223597,169593.96341730564,264411.37
13,True,1100.4630481327429,2785.0,39.51393350566402,169593.96341730564,264411.37
14,True,1494.9564363908044,5173.0,28.89921585909152,169593.96341730564,264411.37
15,True,1812.963011842599,1850.0,97.99800064014048,169593.96341730564,264411.37
16,True,1145.8701211854236,1950.0,58.76257031720121,169593.96341730564,264411.37
17,True,952.9903956796311,1050.0,90.76099006472677,169593.96341730564,264411.37
18,True,1418.4696235845374,1530.0,92.71043291402205,169593.96341730564,264411.37
19,True,866.4199300270262,3395.0,25.520469220236414,169593.96341730564,264411.37
20,True,899.7085773563691,7400.0,12.158224018329312,169593.96341730564,264411.37
21,True,745.0838147697716,980.0,76.02896069079303,169593.96341730564,264411.37
22,True,199.32703936985087,3873.0,5.146579895942445,169593.96341730564,264411.37
23,True,465.47922790490634,9350.0,4.978387464223597,169593.96341730564,264411.37
24,True,1494.9564363908044,5173.0,28.89921585909152,169593.96341730564,264411.37
25,True,1418.4696235845374,1530.0,92.71043291402205,169593.96341730564,264411.37
