branch_idx,line,flow,limit,utilization,cost,capacity
0,True,169.87337605815486,2444.0,6.950629134949053,223404.87940593297,243309.05
1,True,239.68700752340285,6220.0,3.853488866935737,223404.87940593297,243309.05
2,True,1097.5501536277864,2785.0,39.40934124336755,223404.87940593297,243309.05
3,True,1732.7208685684188,1850.0,93.6605874901848,223404.87940593297,243309.05
4,True,701.7834216683095,3395.0,20.671087530730766,223404.87940593297,243309.05
5,True,169.87337605815486,2444.0,6.950629134949053,223404.87940593297,243309.05
6,True,531.9100456101546,7400.0,7.187973589326415,223404.87940593297,243309.05
7,True,168.42778706400665,980.0,17.18650888408231,223404.87940593297,243309.05
8,True,239.68700752340285,6220.0,3.853488866935737,223404.87940593297,243309.05
9,True,1493.0338610450158,1950.0,76.56583902794952,223404.87940593297,243309.05
10,True,462.09641414490665,3873.0,11.931226804670969,223404.87940593297,243309.05
11,True,884.9024184973956,1050.0,84.27642080927578,223404.87940593297,243309.05
12,True,449.41886103551633,9350.0,4.8066188346044525,223404.87940593297,243309.05
13,True,1097.5501536277864,2785.0,39.40934124336755,223404.87940593297,243309.05
14,True,1495.9497426632931,5173.0,28.91841760416186,223404.87940593297,243309.05
15,True,1732.7208685684188,1850.0,93.6605874901848,223404.87940593297,243309.05
16,True,1493.0338610450158,1950.0,76.56583902794952,223404.87940593297,243309.05
17,True,884.9024184973956,1050.0,84.27642080927578,223404.87940593297,243309.05
18,True,1334.3212795329118,1530.0,87.21054114594195,223404.87940593297,243309.05
19,True,701.7834216683095,3395.0,20.671087530730766,223404.87940593297,243309.05
20,True,531.9100456101546,7400.0,7.187973589326415,223404.87940593297,243309.05
21,True,168.42778706400665,980.0,17.18650888408231,223404.87940593297,243309.05
22,True,462.09641414490665,3873.0,11.931226804670969,223404.87940593297,243309.05
23,True,449.41886103551633,9350.0,4.8066188346044525,223404.87940593297,243309.05
24,True,1495.9497426632931,5173.0,28.91841760416186,223404.87940593297,243309.05
25,True,1334.3212795329118,1530.0,87.21054114594195,223404.87940593297,243309.05
