line,flow,limit,utilization
True,260.3634213390679,2444.0,10.653167812564153
True,467.0300621738823,6220.0,7.508521899901645
True,1353.9512688632335,2785.0,48.615844483419515
True,1648.5312827773303,1850.0,89.10979906904488
True,904.8827409137264,3395.0,26.653394430448497
True,260.3634213390679,2444.0,10.653167812564153
True,644.5193195746585,7400.0,8.709720534792682
True,147.2631422329928,980.0,15.026851248264572
True,467.0300621738823,6220.0,7.508521899901645
True,1181.5012206034478,1950.0,60.589806184792195
True,437.85267873984407,3873.0,11.305258939835891
True,898.4669604061786,1050.0,85.56828194344558
True,493.5033050335458,9350.0,5.278110214262522
True,1353.9512688632335,2785.0,48.615844483419515
True,1610.5122862008393,5173.0,31.13304245507132
True,1648.5312827773303,1850.0,89.10979906904488
True,1181.5012206034478,1950.0,60.589806184792195
True,898.4669604061786,1050.0,85.56828194344558
True,1391.9702654397245,1530.0,90.97844872155062
True,904.8827409137264,3395.0,26.653394430448497
True,644.5193195746585,7400.0,8.709720534792682
True,147.2631422329928,980.0,15.026851248264572
True,437.85267873984407,3873.0,11.305258939835891
True,493.5033050335458,9350.0,5.278110214262522
True,1610.5122862008393,5173.0,31.13304245507132
True,1391.9702654397245,1530.0,90.97844872155062
