branch_idx,line,flow,limit,utilization,cost,capacity
0,True,187.36948793087916,2444.0,7.666509326140719,221251.4197063395,244153.544
1,True,290.31495269545314,6220.0,4.667442969380275,221251.4197063395,244153.544
2,True,1153.572013510269,2785.0,41.42089815117663,221251.4197063395,244153.544
3,True,1728.2923694179538,1850.0,93.42120915772722,221251.4197063395,244153.544
4,True,739.3183642730409,3395.0,21.77668230553876,221251.4197063395,244153.544
5,True,187.36948793087916,2444.0,7.666509326140719,221251.4197063395,244153.544
6,True,551.9488763421616,7400.0,7.4587685992184,221251.4197063395,244153.544
7,True,120.44245839377923,980.0,12.290046774875432,221251.4197063395,244153.544
8,True,290.31495269545314,6220.0,4.667442969380275,221251.4197063395,244153.544
9,True,1437.9774167225005,1950.0,73.7424316267949,221251.4197063395,244153.544
10,True,449.00341157758754,3873.0,11.593168385685193,221251.4197063395,244153.544
11,True,860.8228195055823,1050.0,81.98312566719831,221251.4197063395,244153.544
12,True,477.947140292523,9350.0,5.111734120775647,221251.4197063395,244153.544
13,True,1153.572013510269,2785.0,41.42089815117663,221251.4197063395,244153.544
14,True,1543.0944231301173,5173.0,29.829778138993184,221251.4197063395,244153.544
15,True,1728.2923694179538,1850.0,93.42120915772722,221251.4197063395,244153.544
16,True,1437.9774167225005,1950.0,73.7424316267949,221251.4197063395,244153.544
17,True,860.8228195055823,1050.0,81.98312566719831,221251.4197063395,244153.544
18,True,1338.7699597981052,1530.0,87.50130456196766,221251.4197063395,244153.544
19,True,739.3183642730409,3395.0,21.77668230553876,221251.4197063395,244153.544
20,True,551.9488763421616,7400.0,7.4587685992184,221251.4197063395,244153.544
21,True,120.44245839377923,980.0,12.290046774875432,221251.4197063395,244153.544
22,True,449.00341157758754,3873.0,11.593168385685193,221251.4197063395,244153.544
23,True,477.947140292523,9350.0,5.111734120775647,221251.4197063395,244153.544
24,True,1543.0944231301173,5173.0,29.829778138993184,221251.4197063395,244153.544
25,True,1338.7699597981052,1530.0,87.50130456196766,221251.4197063395,244153.544
