GEN_ID,PLANT_NAME,PLANT_TYPE,FUEL_TYPE,ZONE,BUS,PG,PMAX,PMIN,COST
65468_G_HPBA,Highland Park Borough Solar,Energy Storage,Energy Storage,PJM_EMAC,0,0,0.6,0,0.0
65471_G_RGS01,Rose Gold Solar,Solar PV,Solar,PJM_West,0,0,150.0,0,0.0
65471_G_RGS23,Rose Gold Solar,Solar PV,Solar,PJM_West,0,0,100.0,0,0.0
65486_G_LOVLN,Love Lane Solar,Solar PV,Solar,PJM_EMAC,0,0,1.8,0,0.0
65499_G_90909,Danville BESS 1,Energy Storage,Energy Storage,PJM_Dom,0,0,10.5,0,0.0
65508_G_MEND,Mendota Rich Dev CSG,Solar PV,Solar,PJM_COMD,0,0,2.0,0,0.0
65563_G_136,Robin NJ,Solar PV,Solar,PJM_EMAC,0,0,2.2,0,0.0
6560_G_1,London,Hydro,Hydro,PJM_West,0,0,4.8,0,0.0
6560_G_2,London,Hydro,Hydro,PJM_West,0,0,4.8,0,0.0
6560_G_3,London,Hydro,Hydro,PJM_West,0,0,4.8,0,0.0
6561_G_1,Marmet,Hydro,Hydro,PJM_West,0,0,4.8,0,0.0
6561_G_2,Marmet,Hydro,Hydro,PJM_West,0,0,4.8,0,0.0
6561_G_3,Marmet,Hydro,Hydro,PJM_West,0,0,4.8,0,0.0
65610_G_MO32,MO32 (CSG),Solar PV,Solar,PJM_SMAC,0,0,2.0,0,0.0
65611_G_MO33,MO33 CSG,Solar PV,Solar,PJM_SMAC,0,0,2.0,0,0.0
65612_G_SNOWD,Snowden River CSG,Solar PV,Solar,PJM_SMAC,0,0,1.9,0,0.0
6562_G_1,Winfield,Hydro,Hydro,PJM_West,0,0,8.9,0,0.0
6562_G_2,Winfield,Hydro,Hydro,PJM_West,0,0,4.9,0,0.0
6562_G_3,Winfield,Hydro,Hydro,PJM_West,0,0,4.9,0,0.0
65622_G_ABSGI,Absegami,Solar PV,Solar,PJM_EMAC,0,0,2.1,0,0.0
