Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit
Carlls Corner,2379_G_CA2,2379,G,CA2,1430.0,Combustion Turbine,,PJM_EMAC,New Jersey,34,Cumberland,11,34011,39.2,15982,1973,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,H2O,,,,,,,,,0.21,0.72576,0.72576,0.72576,0.72576,,,,,,,,,,,
Buchanan Generation LLC,55738_G_1,55738,G,1,9248.0,Combustion Turbine,,PJM_West,Virginia,51,Buchanan,27,51027,40.0,10745,2002,2023,,,N,Natural Gas,,,,H2O,,,,,,,,,0.006,0.07177,0.07177,0.07177,0.07177,,,,,,,,,,,
Buchanan Generation LLC,55738_G_2,55738,G,2,9249.0,Combustion Turbine,,PJM_West,Virginia,51,Buchanan,27,51027,40.0,10745,2002,2023,,,N,Natural Gas,,,,H2O,,,,,,,,,0.006,0.06957,0.06957,0.06957,0.06957,,,,,,,,,,,
Rockville 1 & 2,56692_G_1A,56692,G,1A,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,10917,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1B,56692,G,1B,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1C,56692,G,1C,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1D,56692,G,1D,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1E,56692,G,1E,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1F,56692,G,1F,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1G,56692,G,1G,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1H,56692,G,1H,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1I,56692,G,1I,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1J,56692,G,1J,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1K,56692,G,1K,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1L,56692,G,1L,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1M,56692,G,1M,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1N,56692,G,1N,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_1O,56692,G,1O,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,1995,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.78088,1.78088,1.78088,1.78088,,,,,,,,,,,
Rockville 1 & 2,56692_G_2A,56692,G,2A,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2B,56692,G,2B,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2C,56692,G,2C,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2D,56692,G,2D,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2E,56692,G,2E,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2F,56692,G,2F,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2G,56692,G,2G,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2H,56692,G,2H,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2I,56692,G,2I,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2J,56692,G,2J,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2K,56692,G,2K,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2L,56692,G,2L,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2M,56692,G,2M,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2N,56692,G,2N,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2O,56692,G,2O,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2P,56692,G,2P,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2Q,56692,G,2Q,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2R,56692,G,2R,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2S,56692,G,2S,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Rockville 1 & 2,56692_G_2T,56692,G,2T,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
