Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
26,1,2,3,7930.37941796714,9018.36881207294,11843.2193102444,18024.5837448364,20261.4156656256,2459.84120586591,10990.6984356736,8951.79533847287,33100.4629593281
27,1,2,4,8069.17039913007,9205.32999723837,11855.2187543477,18298.2654094199,20746.5217092368,2525.9740438327,11272.7966230274,9214.55301178486,33958.388700182
28,1,2,5,8224.3893410092,9530.23650121159,12074.9395546752,18478.0079924672,21181.9892036612,2609.32451606745,11503.1826732746,9480.16828057435,34742.4589022942
29,1,2,6,8303.52643596889,9608.43035539926,12416.5731436511,18366.481832734,21433.168360035,2652.65811788769,11510.1477646735,9596.27468783351,35075.4172549498
30,1,2,7,8277.86104785303,9745.54356981996,12614.6756798313,17877.8856890714,21457.0244058061,2702.777925953,11355.0429312479,9602.68823284173,34701.6456545009
31,1,2,8,8174.39103404471,9747.92353701596,12745.2064645638,17479.9751917254,21335.7097604461,2701.28686582488,11112.2234087687,9559.93985691493,33789.0340128664
32,1,2,9,8061.02745803085,9720.90467664566,12804.8585479582,17187.9448791888,21279.3782757342,2732.01040763222,10889.6020092478,9511.50994236584,32698.8483938508
33,1,2,10,8014.07275835148,9679.0789258192,12776.7529418395,16839.2924027112,21075.6758771828,2685.96295253799,10713.639294182,9337.86540091095,31582.2046753038
34,1,2,11,7862.10064490302,9538.20166223721,12711.5754591884,16574.3188987268,21012.6591822851,2668.25505302308,10609.8461968379,9221.82819704393,30773.4553571827
35,1,2,12,7850.12394865589,9467.07474537787,12519.3114970151,16442.5378870622,21256.8044169732,2625.81708395322,10684.7861272163,9154.84957507819,30331.2965383018
36,1,2,13,7855.03492973624,9440.77561438137,12417.2946805072,16521.9672944148,21757.7087780831,2616.54584918117,10808.5925231665,9184.50425061508,30139.4807124567
37,1,2,14,8103.39146999807,9573.79363242413,12266.0935473236,17140.728223365,22916.8395808052,2686.41834263662,11372.5757242461,9519.97934500779,30619.038352695
38,1,2,15,8393.84091528342,10074.9314527439,12378.9118192489,18009.6154138708,24362.9214240098,2795.40723283703,12113.8979068055,9970.87609898421,32267.541951651
39,1,2,16,8472.86505806786,10275.1301261581,12873.4315824364,18358.0564078183,24724.5323903617,2760.17446061316,12364.8705291636,9972.45013651909,33553.5722780997
40,1,2,17,8438.002487757,10253.8930970048,13680.6781822678,18458.8932898914,24650.3200883649,2736.0135119481,12374.9973391539,9883.5843111287,33763.8502044059
41,1,2,18,8406.44517924013,10183.9684021053,13770.468013746,18504.1750394984,24459.2507721565,2729.8387599705,12334.7790969887,9802.71729914515,33980.8837075746
42,1,2,19,8276.09792426063,9984.36732699946,13741.307004496,18408.0194870861,23938.1633776682,2647.00643364454,12151.8238693706,9591.08728739434,33717.2546807079
43,1,2,20,8179.12639857344,9772.07127026669,13603.4706482087,18183.5222368102,23240.6656339349,2546.35693225832,11805.4730547954,9310.57829900055,33140.6468626463
44,1,2,21,7956.58194320179,9402.65684664334,13369.9346126023,18033.284778252,22329.8086154487,2474.97652596201,11495.8114908792,8984.96979234634,32463.0349425518
45,1,2,22,7868.33795054709,9117.2113888055,12877.856704801,17991.6890033046,21585.7390488822,2398.61778827593,11209.2725901938,8760.36258539859,32016.1429903384
46,1,2,23,7780.09166915036,8958.20294990106,12364.0282721336,18029.4582827655,20924.7303351148,2367.95154489012,11017.4409553073,8643.10352656051,31622.2252701392
47,1,2,24,7788.56269640822,8836.06559671374,11912.1515799023,18068.3739270022,20530.7671406914,2352.44514281589,10918.7006614303,8603.74415307525,31737.1595498563
48,1,3,1,7769.8728040732,8757.27348931603,11601.0338156357,18133.373979003,20305.0541496918,2337.02885850355,10886.8473561633,8595.73698743586,31725.65185957
49,1,3,2,7820.29771346374,8749.41378816485,11293.8906890944,18278.247503421,20207.7301498077,2326.80500999563,10971.3186227764,8659.27318705312,31846.7666804235
50,1,3,3,7873.67704562572,8838.16654835332,11162.5142434938,18483.2780428735,20359.4019012167,2390.89266225532,11144.5458312262,8832.31584574532,32153.1376395767
51,1,3,4,8017.14330426436,8923.96556147091,11077.2476157558,18688.3141620208,20672.1046444833,2450.9735291132,11381.468866931,9039.06243046449,32642.300656059
52,1,3,5,8191.23531841939,9126.81671163728,11154.4905521258,18869.0912462251,20972.2361084784,2538.160058263,11568.5985034235,9331.92580091303,33173.9491818165
53,1,3,6,8248.05121295628,9208.64677204299,11243.5431756029,18754.3524967828,21073.7618130683,2571.46691511937,11530.5908955558,9412.06312731936,33322.1595471221
54,1,3,7,7982.42646161457,9387.82356664649,11332.2358816587,18201.9645392404,20947.7901833527,2583.23060008995,11066.729763939,9264.71487250075,32851.7393342911
