Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),Region Name
"Orange County, VA",600.0,0.0,0.0,0.0,600.0,PJM_AP
"Cumberland County, NJ",550.0,0.0,50.0,50.0,600.0,PJM_EMAC
"Butler County, PA",24.5,15.75,0.0,15.75,40.25,PJM_AP
"Lake County, IL",420.0,0.0,60.0,60.0,480.0,PJM_COMD
"Lehigh County, PA",0.0,12.35,0.0,12.35,12.35,PJM_WMAC
"Sussex County, VA",600.0,0.0,0.0,0.0,600.0,PJM_Dom
"Boone County, KY",0.0,4.0,0.0,4.0,4.0,PJM_West
"Prince William County, VA",5159.0,1675.4,1070.0,2745.4,7904.4,PJM_Dom
"Mercer County, NJ",0.0,28.0,0.0,28.0,28.0,PJM_EMAC
"DuPage County, IL",146.0,314.85,191.0,505.85,651.85,PJM_COMD
"Venango County, PA",0.0,83.5,0.0,83.5,83.5,PJM_PENE
"Gloucester County, NJ",47.5,0.0,13.3,13.3,60.8,PJM_EMAC
"District of Columbia, DC",0.0,10.04,0.0,10.04,10.04,PJM_SMAC
"Salem County, NJ",200.0,0.0,100.0,100.0,300.0,PJM_EMAC
"Wood County, OH",40.0,0.0,40.0,40.0,80.0,PJM_ATSI
"Mecklenburg County, VA",502.5,741.5,278.0,1019.5,1522.0,PJM_Dom
"Charles City County, VA",424.0,0.0,0.0,0.0,424.0,PJM_Dom
"Baltimore County, MD",0.0,1.2,0.0,1.2,1.2,PJM_SMAC
"Loudoun County, VA",6349.4,5333.67,596.0,5929.67,12279.07,PJM_Dom
"Montgomery County, MD",0.0,8.7,0.0,8.7,8.7,PJM_SMAC
"New Castle County, DE",2.0,7.0,0.0,7.0,9.0,PJM_EMAC
"Anne Arundel County, MD",0.0,3.25,0.0,3.25,3.25,PJM_SMAC
"Lancaster County, PA",0.0,0.5,0.0,0.5,0.5,PJM_EMAC
"Mercer County, PA",0.0,150.0,90.0,240.0,240.0,PJM_ATSI
"Chester County, PA",450.0,5.0,0.0,5.0,455.0,PJM_EMAC
"Prince Edward County, VA",300.0,0.0,0.0,0.0,300.0,PJM_Dom
"Northampton County, PA",0.0,4.0,0.0,4.0,4.0,PJM_WMAC
"Prince George's County, MD",834.0,2.0,20.0,22.0,856.0,PJM_SMAC
"Dauphin County, PA",0.0,0.4,0.0,0.4,0.4,PJM_WMAC
"Appomattox County, VA",250.0,0.0,50.0,50.0,300.0,PJM_Dom
