Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,41,8438.002488,10253.8931,13680.67818,18458.89329,24650.32009,2736.013512,12374.99734,9883.584311,33763.8502
,,,,,,,,42,8406.445179,10183.9684,13770.46801,18504.17504,24459.25077,2729.83876,12334.7791,9802.717299,33980.88371
,,,,,,,,43,8276.097924,9984.367327,13741.307,18408.01949,23938.16338,2647.006434,12151.82387,9591.087287,33717.25468
,,,,,,,,44,8179.126399,9772.07127,13603.47065,18183.52224,23240.66563,2546.356932,11805.47305,9310.578299,33140.64686
,,,,,,,,45,7956.581943,9402.656847,13369.93461,18033.28478,22329.80862,2474.976526,11495.81149,8984.969792,32463.03494
,,,,,,,,46,7868.337951,9117.211389,12877.8567,17991.689,21585.73905,2398.617788,11209.27259,8760.362585,32016.14299
,,,,,,,,47,7780.091669,8958.20295,12364.02827,18029.45828,20924.73034,2367.951545,11017.44096,8643.103527,31622.22527
,,,,,,,,48,7788.562696,8836.065597,11912.15158,18068.37393,20530.76714,2352.445143,10918.70066,8603.744153,31737.15955
,,,,,,,,49,7769.872804,8757.273489,11601.03382,18133.37398,20305.05415,2337.028859,10886.84736,8595.736987,31725.65186
,,,,,,,,50,7820.297713,8749.413788,11293.89069,18278.2475,20207.73015,2326.80501,10971.31862,8659.273187,31846.76668
,,,,,,,,51,7873.677046,8838.166548,11162.51424,18483.27804,20359.4019,2390.892662,11144.54583,8832.315846,32153.13764
,,,,,,,,52,8017.143304,8923.965561,11077.24762,18688.31416,20672.10464,2450.973529,11381.46887,9039.06243,32642.30066
,,,,,,,,53,8191.235318,9126.816712,11154.49055,18869.09125,20972.23611,2538.160058,11568.5985,9331.925801,33173.94918
,,,,,,,,54,8248.051213,9208.646772,11243.54318,18754.3525,21073.76181,2571.466915,11530.5909,9412.063127,33322.15955
,,,,,,,,55,7982.426462,9387.823567,11332.23588,18201.96454,20947.79018,2583.2306,11066.72976,9264.714873,32851.73933
,,,,,,,,56,7727.416423,9369.216994,11566.15065,17475.04389,20626.44413,2596.78855,10683.7758,9089.363035,31780.23405
,,,,,,,,57,7525.625435,9340.327159,11727.27079,16984.80449,20480.75472,2573.717484,10367.18732,8938.416754,30638.70787
,,,,,,,,58,7355.676465,9324.537864,11934.84708,16552.85679,20239.70441,2536.368293,10091.89708,8730.148017,29540.76053
