Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
PJM_Dom_VA_PVClass 6_3,4,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_Dom,1
PJM_Dom_VA_PVClass 7_2,4,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_Dom,1
PJM_EMAC_DE_PVClass 7_2,5,1,0,0,0,33458.18737,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_MD_PVClass 7_2,5,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_PVClass 8_2,5,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_PA_PVClass 8_2,5,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_VA_PVClass 6_3,5,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_VA_PVClass 7_2,5,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_EMAC,1
PJM_PENE_PA_PVClass 8_2,6,1,0,0,0,3899.250514,0,85300,18760,0.1,0,0,0,0,PJM_PENE,1
PJM_PENE_PA_PVClass 9_1,6,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_PENE,1
PJM_SMAC_DC_PVClass 7_2,7,1,0,0,0,9.5904,0,85300,18760,0.1,0,0,0,0,PJM_SMAC,1
PJM_SMAC_MD_PVClass 7_2,7,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_SMAC,1
PJM_WMAC_PA_PVClass 8_2,8,1,0,0,0,53858.21479,0,85300,18760,0.1,0,0,0,0,PJM_WMAC,1
PJM_West_IN_PVClass 8_2,9,1,0,0,0,344883.9822,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_KY_PVClass 8_2,9,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_MI_PVClass 8_2,9,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_OH_PVClass 8_2,9,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_VA_PVClass 6_3,9,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_VA_PVClass 7_2,9,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_West_WV_PVClass 8_2,9,1,0,0,0,-1,0,85300,18760,0.1,0,0,0,0,PJM_West,1
PJM_AP_MD_WindClass 1_7,1,1,0,0,0,209.3914032,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_MD_WindClass 4_6,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_MD_WindClass 7_5,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
