Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
6018_B_2,9,1,1,0,600,-1,0,65400,16291,4.5,10.919,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
602_B_1,7,1,1,0,635,-1,0,65400,16291,4.5,11.282,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
602_B_2,7,1,1,0,638,-1,0,65400,16291,4.5,11.154,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
6041_B_1,9,1,1,0,300,-1,0,65400,16291,4.5,10.121,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
6041_B_2,9,1,1,0,510,-1,0,65400,16291,4.5,10.048,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
6041_B_3,9,1,1,0,268,-1,0,65400,16291,4.5,10.121,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
6041_B_4,9,1,1,0,268,-1,0,65400,16291,4.5,10.121,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
6166_B_MB1,9,1,1,0,1300,-1,0,65400,16291,4.5,10.007,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
6166_B_MB2,9,1,1,0,1300,-1,0,65400,16291,4.5,10.032,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
6264_B_1,9,1,1,0,1299,-1,0,65400,16291,4.5,9.925,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
10030_G_COG1,5,1,1,0,15,-1,0,65400,16291,4.5,7.517,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10030_G_KD-1,5,1,1,0,44,-1,0,65400,16291,4.5,7.517,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10030_G_KD-2,5,1,1,0,44,-1,0,65400,16291,4.5,10.745,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10633_G_GT1,4,1,1,0,94.1,-1,0,65400,16291,4.5,8.922,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
10061_G_GEN1,5,1,1,0,8.8,-1,0,65400,16291,4.5,7.905,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10061_G_GEN2,5,1,1,0,0.7,-1,0,65400,16291,4.5,7.905,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
7318_G_1,5,1,1,0,44.4,-1,0,65400,16291,4.5,13.368,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
7335_G_RCT1,9,1,1,0,34,-1,0,65400,16291,4.5,13.591,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
7335_G_RCT2,9,1,1,0,34,-1,0,65400,16291,4.5,13.592,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
7336_G_ACT1,9,1,1,0,34,-1,0,65400,16291,4.5,12.613,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
7336_G_ACT2,9,1,1,0,34,-1,0,65400,16291,4.5,12.613,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
7336_G_ACT3,9,1,1,0,72,-1,0,65400,16291,4.5,12.613,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
7397_G_5,1,1,1,0,2.1,-1,0,65400,16291,4.5,10.745,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
7397_G_6,1,1,1,0,2.1,-1,0,65400,16291,4.5,10.745,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
7397_G_7,1,1,1,0,2.9,-1,0,65400,16291,4.5,10.745,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
7429_G_2,4,1,1,0,1.2,-1,0,65400,16291,4.5,14.199,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7429_G_3,4,1,1,0,1.2,-1,0,65400,16291,4.5,18.028,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7438_G_C3A,4,1,1,0,1,-1,0,65400,16291,4.5,12.885,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7438_G_C5,4,1,1,0,1.5,-1,0,65400,16291,4.5,13.009,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7438_G_C6,4,1,1,0,1.5,-1,0,65400,16291,4.5,12.974,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7439_G_C10,4,1,1,0,1.5,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7439_G_C7,4,1,1,0,1.5,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7439_G_C8,4,1,1,0,1.5,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7439_G_C9,4,1,1,0,1.5,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7440_G_V10,4,1,1,0,1.5,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7440_G_V3,4,1,1,0,1.5,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7440_G_V4,4,1,1,0,1.5,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7440_G_V5,4,1,1,0,1.5,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
7440_G_V6,4,1,1,0,1.5,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
10129_G_GEN1,6,1,1,0,6,-1,0,65400,16291,4.5,8.7,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
10129_G_GEN2,6,1,1,0,6,-1,0,65400,16291,4.5,8.7,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
10129_G_GEN3,6,1,1,0,6,-1,0,65400,16291,4.5,8.7,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
10129_G_GEN4,6,1,1,0,6,-1,0,65400,16291,4.5,8.7,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
10308_G_CT1,5,1,1,0,112,-1,0,65400,16291,4.5,8.5,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10308_G_CT2,5,1,1,0,112,-1,0,65400,16291,4.5,8.5,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10308_G_ST1,5,1,1,0,68,-1,0,65400,16291,4.5,8.5,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10751_G_GEN1,5,1,1,0,79.8,-1,0,65400,16291,4.5,8.774,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10751_G_GEN2,5,1,1,0,65.2,-1,0,65400,16291,4.5,8.774,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10805_G_GEN1,5,1,1,0,20,-1,0,65400,16291,4.5,8.18,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10805_G_GEN2,5,1,1,0,4.5,-1,0,65400,16291,4.5,8.18,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10870_G_GEN1,8,1,1,0,58.9,-1,0,65400,16291,4.5,13.894,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
10870_G_GEN2,8,1,1,0,28.3,-1,0,65400,16291,4.5,13.887,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
10870_G_GEN3,8,1,1,0,29.3,-1,0,65400,16291,4.5,13.885,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
10870_G_GEN4,8,1,1,0,29.1,-1,0,65400,16291,4.5,13.888,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
10603_B_031,6,1,1,0,50,-1,0,65400,16291,4.5,14.5,Waste Coal,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
10629_B_BLR1,7,1,1,0,20.4,-1,0,65400,16291,4.5,12.756,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
10629_B_BLR2,7,1,1,0,20.4,-1,0,65400,16291,4.5,12.756,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
10629_B_BLR3,7,1,1,0,20.4,-1,0,65400,16291,4.5,12.756,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
10643_B_1,5,1,1,0,20,-1,0,65400,16291,4.5,20.422,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10643_B_2,5,1,1,0,20,-1,0,65400,16291,4.5,20.422,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10643_B_3,5,1,1,0,20,-1,0,65400,16291,4.5,20.422,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10113_B_CFB1,8,1,1,0,40,-1,0,65400,16291,4.5,13.587,Waste Coal,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
10113_B_CFB2,8,1,1,0,40,-1,0,65400,16291,4.5,13.587,Waste Coal,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
10118_B_1,8,1,1,0,5.6,-1,0,65400,16291,4.5,6.464,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
10118_B_2,8,1,1,0,5.6,-1,0,65400,16291,4.5,6.464,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
10118_B_3,8,1,1,0,5.6,-1,0,65400,16291,4.5,6.464,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
10143_B_ABB01,6,1,1,0,110,-1,0,65400,16291,4.5,11.032,Waste Coal,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_PENE,1
10151_B_BLR1A,1,1,1,0,40,-1,0,65400,16291,4.5,13.65,Waste Coal,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
10151_B_BLR1B,1,1,1,0,40,-1,0,65400,16291,4.5,13.65,Waste Coal,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_AP,1
10343_B_SG-101,8,1,1,0,43,-1,0,65400,16291,4.5,14.5,Waste Coal,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_WMAC,1
1040_B_1,9,1,1,0,35,-1,0,65400,16291,4.5,13.048,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
1040_B_2,9,1,1,0,65,-1,0,65400,16291,4.5,12.947,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
10435_B_SG101A,5,1,1,0,11,-1,0,65400,16291,4.5,22.061,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10435_B_SG101B,5,1,1,0,11,-1,0,65400,16291,4.5,22.061,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10435_B_SG101C,5,1,1,0,11,-1,0,65400,16291,4.5,22.061,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10746_B_BLR1,5,1,1,0,13.3,-1,0,65400,16291,4.5,18.92,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10746_B_BLR2,5,1,1,0,13.3,-1,0,65400,16291,4.5,18.92,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10746_B_BLR3,5,1,1,0,13.3,-1,0,65400,16291,4.5,18.92,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10746_B_BLR4,5,1,1,0,13.3,-1,0,65400,16291,4.5,18.92,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10746_B_BLR5,5,1,1,0,13.3,-1,0,65400,16291,4.5,18.92,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
10746_B_BLR6,5,1,1,0,13.3,-1,0,65400,16291,4.5,18.92,MSW,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
1353_B_BSU1,9,1,1,0,260,-1,0,65400,16291,4.5,11.615,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
1384_B_1,9,1,1,0,116,-1,0,65400,16291,4.5,10.639,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
1384_B_2,9,1,1,0,225,-1,0,65400,16291,4.5,10.681,Bituminous,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_West,1
1571_B_3,7,1,1,0,595,-1,0,65400,16291,4.5,11.892,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1571_B_4,7,1,1,0,585,-1,0,65400,16291,4.5,11.72,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
10633_G_GT2,4,1,1,0,94.1,-1,0,65400,16291,4.5,8.922,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
10633_G_GT3,4,1,1,0,94.1,-1,0,65400,16291,4.5,8.922,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
10633_G_ST1,4,1,1,0,96,-1,0,65400,16291,4.5,8.922,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_Dom,1
1556_G_GT1,7,1,1,0,52,-1,0,65400,16291,4.5,10.911,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1556_G_GT3,7,1,1,0,51,-1,0,65400,16291,4.5,10.911,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1556_G_GT4,7,1,1,0,52,-1,0,65400,16291,4.5,10.911,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1556_G_GT5,7,1,1,0,139,-1,0,65400,16291,4.5,10.915,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1556_G_GT6,7,1,1,0,109.8,-1,0,65400,16291,4.5,10.745,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1557_G_GT1,7,1,1,0,15.3,-1,0,65400,16291,4.5,18.086,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1557_G_GT2,7,1,1,0,16,-1,0,65400,16291,4.5,18.087,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
